recruiter,recruit,degree,blk,testatus
464,1,6,0,s
191,2,6,0,s
470,4,6,1,s
335,8,9,0,s
153,12,9,0,s
263,18,10,0,s
112,20,4,1,s
,24,4,1,s
,27,4,1,s
456,29,6,0,s
144,32,4,0,s
176,38,6,1,s
121,41,6,0,s
447,47,6,0,s
372,51,5,1,s
118,54,8,0,s
447,71,3,1,s
328,77,5,1,s
296,80,9,0,s
311,92,4,1,s
358,94,5,0,s
51,95,4,1,s
191,96,7,1,s
,98,9,0,s
41,103,6,1,s
252,105,7,1,i
12,109,3,1,s
351,110,4,0,s
246,111,9,1,s
390,112,7,0,s
344,113,4,1,s
224,115,7,1,s
255,116,4,1,s
147,118,6,1,s
338,121,5,1,s
196,122,5,0,s
263,125,7,1,s
312,129,5,0,s
464,134,4,1,s
246,136,4,1,s
144,138,8,1,s
95,139,5,0,s
390,142,9,1,s
95,144,7,0,s
71,145,5,0,s
287,146,9,1,s
396,147,5,1,i
284,153,5,0,s
167,154,7,0,s
221,160,5,0,s
410,163,5,0,s
475,164,10,1,s
160,167,7,1,s
340,176,5,1,s
199,191,6,1,s
221,196,8,1,s
18,198,5,1,s
366,199,5,1,s
247,209,4,1,s
125,213,3,0,s
311,214,13,0,s
422,218,4,1,s
328,220,4,0,s
247,221,5,1,s
176,224,9,0,s
147,226,4,1,s
238,227,6,1,s
125,231,7,0,s
482,234,11,1,s
471,236,9,1,s
456,237,3,1,s
139,238,8,0,s
98,244,12,1,s
358,246,7,1,s
80,247,5,0,s
339,251,4,1,s
352,252,6,1,s
376,255,8,0,s
338,261,6,0,s
27,263,4,1,s
12,266,7,1,s
378,276,6,0,s
94,281,5,1,s
54,284,6,1,s
136,287,7,1,i
237,291,6,0,s
276,292,4,0,s
,296,6,1,s
,297,6,0,s
464,298,9,0,s
410,299,2,0,s
163,301,13,0,s
41,310,4,1,s
,311,5,1,s
365,312,7,0,s
252,318,7,0,s
284,321,6,0,s
112,327,9,0,s
422,328,4,0,s
153,335,5,1,s
238,337,8,0,s
252,338,3,0,s
399,339,4,1,s
422,340,7,0,s
20,344,9,1,s
231,348,7,0,s
92,351,10,1,s
214,352,3,1,s
98,358,6,1,s
231,362,1,1,s
450,365,4,0,s
297,366,3,1,s
471,369,8,0,s
410,370,8,1,s
296,372,6,1,s
213,374,12,0,s
209,376,8,0,s
221,378,6,0,s
24,385,9,0,s
458,390,9,0,s
118,394,7,1,s
,396,4,1,s
471,399,7,0,s
447,410,15,1,s
489,419,10,0,i
136,422,6,0,s
457,430,5,0,s
318,436,6,0,s
301,439,7,1,s
105,447,4,1,s
226,450,6,1,s
236,451,5,0,s
,456,6,0,s
226,457,5,0,s
214,458,6,0,s
376,462,10,1,s
121,464,10,0,s
92,465,9,0,s
312,467,9,0,s
163,470,4,1,s
479,471,11,0,s
199,475,2,0,s
,479,4,1,s
238,481,3,1,s
462,482,6,1,s
209,489,4,0,s
