recruiter,recruit,degree,blk,testatus
329,2,8,0,s
310,6,4,1,i
233,11,5,0,s
462,24,4,1,i
28,26,5,1,s
428,28,9,1,s
944,32,5,1,s
522,34,7,0,i
420,35,9,1,s
948,45,5,1,s
319,55,4,0,i
207,61,2,0,s
728,64,6,0,s
154,68,4,1,s
436,69,4,0,s
573,71,8,1,i
317,73,1,0,i
282,81,8,1,i
475,91,6,1,i
715,94,5,1,s
91,99,7,0,i
303,104,9,0,s
271,106,9,0,s
364,114,2,1,s
310,123,7,1,s
836,124,3,1,s
69,127,5,0,s
35,131,12,1,i
309,137,9,1,i
738,139,4,1,i
241,142,7,0,i
162,151,4,1,s
911,153,2,1,i
900,154,5,1,s
243,157,4,1,s
26,162,5,1,s
878,170,4,0,s
263,178,2,1,s
329,186,3,0,s
326,191,4,0,s
715,192,6,1,s
960,201,10,1,s
459,207,5,0,i
94,211,5,1,s
420,214,8,1,s
673,233,7,1,i
565,241,6,1,i
142,243,5,1,s
368,245,3,1,s
388,252,6,0,s
106,256,6,0,s
438,263,6,1,s
282,268,8,1,i
963,270,4,0,s
948,271,6,0,s
645,282,7,1,s
271,288,5,0,s
154,293,10,1,i
498,303,2,0,s
616,309,4,1,i
946,310,6,1,i
99,311,7,0,s
459,312,9,1,s
137,317,5,0,s
341,319,6,0,s
462,321,4,1,i
317,326,5,0,s
233,327,2,1,s
733,329,7,0,s
311,331,7,0,s
995,341,10,0,s
589,348,3,1,s
45,359,6,1,s
498,364,7,0,s
270,368,7,0,i
473,378,4,1,i
950,381,7,1,s
963,386,6,0,s
256,388,6,0,i
127,402,4,0,i
24,404,3,0,i
341,408,6,0,s
738,409,3,1,s
558,413,4,1,s
669,420,4,1,s
,428,9,1,s
921,432,6,1,s
319,436,6,0,i
932,438,6,1,s
967,442,7,0,i
871,443,8,1,s
408,452,5,0,i
,453,3,0,s
944,459,6,1,s
139,460,5,1,s
420,462,6,1,s
841,465,2,1,s
436,472,5,1,i
967,473,7,1,i
565,475,6,0,s
921,476,3,1,s
595,489,4,1,s
326,490,7,0,s
784,498,8,0,s
381,508,7,0,s
716,522,3,1,i
856,527,4,0,s
282,536,10,1,i
104,538,1,1,s
716,556,7,1,s
728,558,10,1,i
784,559,10,0,s
489,565,4,0,s
724,567,7,0,s
34,573,6,0,s
293,577,6,1,i
453,581,6,1,i
127,588,7,0,s
902,589,7,1,s
252,591,8,0,s
32,595,8,1,s
595,599,5,1,i
233,616,4,1,s
241,618,4,1,s
654,621,4,1,s
775,624,8,1,s
581,633,5,1,s
616,635,2,0,s
309,637,5,1,s
999,642,3,0,s
705,645,5,1,s
645,649,2,1,i
738,654,4,1,s
673,669,6,0,i
642,673,6,1,s
61,680,6,0,s
673,681,6,1,i
775,683,6,0,s
26,687,3,0,s
207,688,4,0,s
124,693,5,0,s
565,704,5,0,s
875,705,4,1,s
739,706,2,1,s
637,715,5,1,s
633,716,6,1,s
348,717,7,1,s
890,724,3,0,s
32,725,4,1,s
104,728,9,1,s
559,733,4,0,s
214,738,7,1,i
245,739,6,1,i
715,742,1,1,i
69,746,5,1,s
293,755,6,1,s
728,756,7,1,s
687,775,3,0,s
687,784,5,1,s
473,787,5,1,s
875,799,6,0,i
963,802,4,0,s
124,815,9,1,i
815,821,3,1,s
329,833,4,0,s
902,836,4,1,s
459,841,2,1,s
900,843,2,1,s
982,856,6,0,s
408,867,5,0,s
24,871,8,1,i
624,875,4,1,i
724,878,8,0,s
413,890,3,1,i
558,895,2,0,s
921,900,5,1,i
153,902,5,1,s
637,908,7,1,i
293,910,4,1,i
595,911,3,1,s
756,921,6,1,i
908,923,9,1,s
982,928,3,0,s
833,932,5,0,i
556,944,3,1,s
321,945,4,0,s
635,946,6,1,s
489,948,5,0,s
964,950,7,1,i
157,960,4,1,s
573,963,5,0,s
843,964,4,1,i
428,967,6,1,s
178,982,7,0,i
465,987,6,1,i
558,995,5,1,s
34,999,8,1,i
