recruiter,recruit,degree,blk,testatus
507,2,4,0,s
329,4,2,1,s
592,8,4,1,i
136,11,7,0,s
483,15,5,1,s
690,16,5,0,s
465,18,7,0,s
785,19,3,1,i
55,29,6,1,s
566,30,5,0,s
268,41,4,1,s
144,42,2,0,s
575,55,7,0,s
625,70,6,1,i
623,72,5,1,i
326,77,7,1,i
983,84,8,0,s
973,90,6,1,s
824,92,7,0,i
478,97,6,0,i
417,117,7,0,s
942,119,4,0,i
542,122,9,1,s
15,126,6,0,s
471,134,6,1,s
627,136,4,0,s
599,138,4,1,s
514,139,5,0,s
203,144,5,0,i
677,147,7,0,i
77,150,5,1,s
164,153,7,0,s
55,163,5,0,s
138,164,12,0,s
523,166,6,0,s
55,168,5,0,i
785,175,8,0,s
772,177,4,1,s
451,180,3,1,s
698,186,4,1,s
,199,4,0,i
806,203,5,0,i
244,205,6,0,s
175,212,4,0,s
417,213,5,0,s
689,220,2,0,s
203,227,8,1,i
553,232,8,1,s
480,244,4,1,s
716,260,3,0,s
862,262,4,0,s
781,263,6,0,s
417,268,5,1,s
,285,5,0,s
483,294,4,1,s
625,298,6,1,s
743,299,4,1,i
669,308,2,0,s
527,326,3,1,s
358,327,5,1,s
527,329,6,0,i
615,332,4,0,s
203,339,3,1,s
743,340,3,0,i
117,344,2,0,s
497,350,2,1,s
299,355,7,1,i
929,358,4,1,s
900,363,4,1,s
808,365,5,0,i
134,373,3,1,s
930,377,8,0,i
721,378,3,0,s
199,385,3,0,i
942,386,2,0,s
299,399,3,1,i
519,402,3,0,s
627,417,4,0,s
232,421,3,1,s
660,427,6,1,s
358,432,5,1,s
615,439,10,1,s
4,442,5,1,s
744,447,6,1,s
542,451,4,1,s
11,457,5,0,s
974,459,5,0,s
139,462,6,0,s
263,465,11,0,i
691,471,2,0,s
213,478,6,1,i
497,480,9,1,i
690,483,4,0,s
602,497,4,1,s
529,500,7,0,i
134,507,4,1,s
640,511,7,0,s
721,514,5,0,s
532,515,4,0,i
15,516,8,1,i
846,517,5,0,s
457,519,7,0,s
519,521,3,0,i
153,523,5,1,s
483,527,4,0,s
846,529,4,0,s
385,530,9,0,i
672,532,8,0,i
199,542,8,0,s
8,544,4,1,i
16,545,4,1,s
974,553,8,1,i
144,562,5,0,s
951,564,8,1,s
18,566,5,0,s
,569,1,1,s
11,572,2,1,s
782,574,4,1,i
462,575,2,0,s
308,577,4,0,i
907,578,3,1,s
640,581,9,0,s
529,592,5,1,i
386,596,3,0,s
350,599,6,1,s
136,602,7,0,s
378,604,9,1,s
523,615,6,1,s
19,623,10,0,i
577,625,6,1,s
377,626,4,0,i
365,627,10,0,i
974,633,2,1,s
16,634,3,1,s
355,635,5,1,s
792,640,7,0,s
180,655,5,1,s
329,659,3,0,i
951,660,3,1,s
500,661,6,0,s
126,668,6,0,s
19,669,8,1,s
339,672,5,0,s
581,677,6,0,i
90,678,5,1,s
457,689,7,0,s
220,690,7,0,s
929,691,6,0,s
542,694,5,0,s
447,698,6,0,i
199,703,5,0,s
8,708,2,0,i
774,716,5,0,i
459,721,7,0,s
862,736,5,0,s
263,737,7,0,i
792,743,3,0,i
532,744,2,1,s
402,757,4,0,s
973,767,5,1,s
553,768,5,0,s
517,771,9,0,i
122,772,8,1,s
164,774,11,0,i
294,777,3,1,s
529,781,3,1,s
527,782,7,0,s
227,783,9,0,s
514,785,4,0,s
553,792,3,0,s
627,806,5,0,i
,808,2,0,s
951,809,5,1,s
569,824,7,1,s
329,829,4,1,i
968,846,3,0,s
177,853,1,1,s
602,862,3,0,s
2,875,4,0,s
377,890,7,0,s
716,900,2,1,s
263,907,6,0,s
669,917,2,1,s
373,922,6,1,s
517,929,7,1,s
497,930,5,1,s
147,939,6,1,i
677,942,6,0,s
139,946,7,0,s
578,951,7,1,s
465,959,5,0,i
602,968,7,0,s
930,973,4,1,s
213,974,5,1,s
782,983,5,0,s
326,999,6,1,s
